,Srn,Charge_Id,Charge_Holder_Name,Date_Of_Creation,Date_Of_Modification,Date_Of_Satisfaction,Amount,Cin,Company_Name,Runtime,Address,Charge_Holder_Clean_Name
413,Y10517590,90389520,THE MITSUI BANK LTD.,1989-05-05,,1999-09-30,21500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,FORT       Maharashtra  India,MITSUI BANK
414,Y10517591,90389521,STATE BANK OF HYDERABAD,1989-05-11,1994-11-30,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,210 NARIMAN POINT       Maharashtra  India,STATE BANK OF HYDERABAD
415,Y10517595,90389525,UNIT TRUST BANK OF INDIA,1989-06-20,,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,13 SIR VITHALDAS THACKERSEY MARG       Maharashtra  India,UNIT TRUST BANK OF INDIA
416,Y10517596,90389526,STATE BANK OF HYDERABAD,1989-06-24,,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,210 NARIMAN POINT       Maharashtra  India,STATE BANK OF HYDERABAD
417,Y10517599,90389529,INDUSTRIAL FINANCE CORPORATION OF INDIA,1989-09-06,,1999-09-30,12933000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANK OF BARODA BLDG. 16 SANSAD MARG      Delhi  India,INDUSTRIAL FINANCE CORPORATION OF INDIA
418,Y10517600,90389530,INDUSTRIAL FINANCE CORPORATION OF INDIA,1989-09-13,,1999-09-30,2067000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANK OF BARODA BLDG. 16 SANSAD MARG      Delhi  India,INDUSTRIAL FINANCE CORPORATION OF INDIA
419,Y10517602,90389532,ORIENTAL BANK OF COMMERCE,1989-10-16,,1999-09-30,175800,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
420,Y10517603,90389533,ALGEMENE BANK NEDERLAND,1989-10-23,,1999-09-30,1363500,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGEMENE BANK NEDERLAND
421,Y10517605,90389535,THE INDUSTRIAL CREDIT & INVESTMENT CORPORATION OF INDIA LTD.,1989-11-07,,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,INDUSTRIAL CREDIT AND INVESTMENT CORPORATION OF INDIA
422,Y10517608,90389538,ORIENTAL BANK OF COMMERCE,1989-12-06,,1999-09-30,392294,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,DR. V.B. GANDHI MARG       Maharashtra  India,ORIENTAL BANK OF COMMERCE
423,Y10517609,90389539,ORIENTAL BANK OF COMMERCE,1990-02-09,,1999-09-30,1025415,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
424,Y10517612,90389542,ORIENTAL BANK OF COMMERCE,1990-05-10,,1999-09-30,1946395,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
425,Y10517614,90389544,THE HONGKONG & SHANGHAI BANKING CORPORATION,1990-08-27,,1999-09-30,39500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,52/60 M.G. ROAD       Maharashtra  India,HONGKONG AND SHANGHAI BANKING CORPORATION
426,Y10517617,90389547,ALGENANC BANK NEDERLAND N.V.,1990-10-10,,1999-09-30,1677180,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN ROAD       Maharashtra  India,ALGENANC BANK NEDERLAND NV
427,Y10517619,90389549,IDBI BANK LTD.,1990-12-10,1991-01-31,1999-09-30,75000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,CUFFE PARADE       Maharashtra  India,IDBI BANK
428,Y10517620,90389550,IDBI BANK LTD.,1990-12-30,1990-12-17,1999-09-30,75000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,CUFFE PARADE       Maharashtra  India,IDBI BANK
429,Y10517624,90389554,CREDIT LYONNAIS,1991-03-21,1993-11-01,1999-09-30,12500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,SCINDIA HOUSE BALLARD ESTATE      Maharashtra  India,CREDIT LYONNAIS
430,Y10517625,90389555,ORIENTAL BANK OF COMMERCE,1991-03-26,,1999-09-30,2711250,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
431,Y10517626,90389556,IFCI BANK LTD.,1991-03-27,,1999-09-30,19859000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANK OF BARODA BUILDING 16 SANSAD MARG      Delhi  India,IFCI BANK
432,Y10517628,90389558,THE UNIT TRUST BANK OF INDIA,1991-06-25,1992-06-17,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NEW MARINE LINES       Maharashtra  India,UNIT TRUST BANK OF INDIA
433,Y10517630,90389560,ALGEMENC BANK,1991-07-16,,1999-09-30,6285569,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,14 VEER NARIMAN POINT       Maharashtra  India,ALGEMENC BANK
434,Y10517632,90389562,BANK OF BARODA,1991-09-05,,1999-09-30,17800000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BARODA
435,Y10517634,90389564,INDUSTRIAL FINANCE CORPORATION LTD.,1991-10-15,,1999-09-30,556000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BANK OF BARODA 16 SANSAD MARG      Delhi  India,INDUSTRIAL FINANCE CORPORATION
436,Y10517638,90389568,BANK OF BARODA,1992-02-24,,1999-09-30,27000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BARODA
437,Y10517642,90389572,ICICI BANK LTD.,1992-04-24,,1999-09-30,5544985,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
438,Y10517643,90389573,ICICI BANK LTD.,1992-05-27,,1999-09-30,12500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
439,Y10517645,90389575,BANK OF BARODA,1992-07-08,1997-06-28,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BALLARD ESTATE       Maharashtra  India,BANK OF BARODA
440,Y10517649,90389579,CREDIT LYONNAIS,1992-11-09,,1999-09-30,12500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BALLARD HOUSE       Maharashtra  India,CREDIT LYONNAIS
441,Y10517652,90389582,IFCI BANK LTD.,1993-02-15,,1999-09-30,30000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,16 PARLIAMENT STREET       Delhi  India,IFCI BANK
442,Y10517656,90389586,THE INDUSTRIAL CREDIT & INVESTMENT CORPORATION OF INDIA LTD.,1993-03-02,,1999-09-30,300000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,INDUSTRIAL CREDIT AND INVESTMENT CORPORATION OF INDIA
443,Y10517657,90389587,BANK OF AMERICA,1993-03-03,,1999-09-30,7000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,EXPRESS TOWERS NARIMAN POINT      Maharashtra  India,BANK OF AMERICA
444,Y10517658,90389588,IDBI BANK LTD.,1993-03-22,1993-05-17,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,CUFFE PARADE COLOBA      Maharashtra  India,IDBI BANK
445,Y10517661,90389591,ORIENTAL BANK OF COMMERCE,1993-04-17,,1999-09-30,1622828,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
446,Y10517662,90389592,SCICI LIMITED,1993-05-13,1993-08-10,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,141 MAKER CHAMBERS CUFFE PARADE      Maharashtra  India,SCICI
447,Y10517668,90389598,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1993-08-08,,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22. STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
448,Y10517671,90389601,STATE BANK OF TRAVANCORE,1993-09-24,,1999-09-30,17500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,FORT       Maharashtra  India,STATE BANK OF TRAVANCORE
