Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Indore,Bhawar Kuan,Bhawar Kuan,281,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Rau,Rau,113,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,By Pass Road (North),By Pass Road (North),127,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,South Tukoganj,South Tukoganj,48,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Sapna Sangeeta,Sapna Sangeeta,91,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Rnt Marg,Rnt Marg,46,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,By Pass Road (South),By Pass Road (South),90,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Sarwate Bus Stand,Sarwate Bus Stand,39,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Geeta Bhavan,Geeta Bhavan,67,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Yn Road,Yn Road,37,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Hig-Lig,Hig-Lig,122,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Mr 10 Road,Mr 10 Road,123,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Rajendra Nagar,Rajendra Nagar,121,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Khajrana,Khajrana,112,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Sudama Nagar,Sudama Nagar,111,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Sarafa Bazaar,Sarafa Bazaar,36,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Annapurna Road,Annapurna Road,88,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Press Complex,Press Complex,59,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Manik Bagh Road,Manik Bagh Road,60,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Chhavani,Chhavani,30,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Airport Road,Airport Road,113,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Gangwal Bus Stand,Gangwal Bus Stand,36,Week 14-2023,2023-04-07,2023-04-07 22:38:18
India,Indore,Navlakha,Navlakha,44,Week 14-2023,2023-04-07,2023-04-07 22:38:18
