lat,lng,address,Place
20.7220096,83.33752439999999,"Barapudugia, Odisha 767024, India","BARAPUDGIA,BALANGIR,BOLANGIR,Odisha"
27.3393487,82.41703780000002,"Barayal, Uttar Pradesh 271604, India","BARAYAL,UTRAULA,BALRAMPUR,Uttar Pradesh"
24.5246418,84.2844961,"Pipra, Jharkhand 822131, India","BARDAAG,PIPRA,PALAMU,Jharkhand"
27.5625723,82.3099154,"Bardahwa, Uttar Pradesh 271208, India","BARDAHWA,TULSIPUR,BALRAMPUR,Uttar Pradesh"
27.5362044,82.394891,"Harraiya - Amari Rd, DEVIPATAN, Tulsipur, Uttar Pradesh 271208, India","BARGADAHI,TULSIPUR,BALRAMPUR,Uttar Pradesh"
26.3726481,85.4927026,"Runni Saidpur Madhya, Bihar, India","BARHETA,RUNNI SAIDPUR,SITAMARHI,Bihar"
22.2132074,85.87676739999999,"Kumardungi, Jharkhand 833214, India","BARUSAI,KUMARDUNGI,PASHCHIMI SINGHBHUM,Jharkhand"
27.1067723,84.5615274,"Barwa, Bihar 845306, India","BARWA,MAINATAND,PASHCHIM CHAMPARAN,Bihar"
27.1965012,84.20284579999999,"Barwa, Bihar, India","BARWA,BAGAHA-I,PASHCHIM CHAMPARAN,Bihar"
24.4732471,83.9519338,"Barwadih, Jharkhand 822115, India","BARWADIH,HAIDARNAGAR,PALAMU,Jharkhand"
27.5246311,82.4156829,"Tulsipur, Uttar Pradesh, India","BASANT PUR,TULSIPUR,BALRAMPUR,Uttar Pradesh"
27.4386533,82.6078205,"Basantpur, Uttar Pradesh 271215, India","BASANTPUR,PACHPERWA,BALRAMPUR,Uttar Pradesh"
27.5917355,82.3099154,"Basantpur, Uttar Pradesh 271208, India","BASANTPUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
24.0861938,84.3988806,"Basariya, Jharkhand 822122, India","BASARIYA,PANKI,PALAMU,Jharkhand"
27.2002641,82.30981000000001,"Basawan Bankat, Uttar Pradesh 271306, India","BASAWAN BANKAT,REHRA BAZAR,BALRAMPUR,Uttar Pradesh"
24.3371312,83.9519338,"Basdiha, Jharkhand, India","BASDIHA,PANDU,PALAMU,Jharkhand"
24.2775877,84.1023541,"Palamu, Jharkhand 822113, India","BASNA,NAWA BAZAR,PALAMU,Jharkhand"
26.5316451,85.7948524,"Charaut, Bihar 843319, India","BASOTRA,CHORAUT,SITAMARHI,Bihar"
22.8669028,85.3276724,"National Highway 75, Bandgaon, Jharkhand 835216, India","BASTAMPADA,BANDGAON,PASHCHIMI SINGHBHUM,Jharkhand"
27.2284383,84.01191209999999,"Batesara More Bus Stop, NH 28B, Badgaha - Triveni Road, Bagaha Dhala Rd, Batsara, Bihar 845101, India","BATESARA,PASHCHIM CHAMPARAN,Bihar"
26.6912716,84.42448809999999,"Bathna, Bihar 845459, India","BATHNA,BAIRIA,PASHCHIM CHAMPARAN,Bihar"
26.8333401,85.6631467,"Bathuara Rd, Bihar, India","BATHUARA,PARIHAR,SITAMARHI,Bihar"
26.4372907,85.6553634,"Rasulganj urf Koili, Bihar 843333, India","BATHULI,NANPUR,SITAMARHI,Bihar"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","BEERPUR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
21.9681522,86.0758979,"Jashipur, Odisha 757034, India","BEGUNIA,JASHIPUR,MAYURBHANJ,Odisha"
26.4409294,85.6653206,"Nanpur, Bihar 843333, India","BELA BAHADURPUR,NANPUR,SITAMARHI,Bihar"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","BELBHARIYA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
22.2397864,84.74012689999999,"Beldihi, Odisha, India","BELDIHI,LATHIKATA,SUNDERGARH,Odisha"
24.368955,84.0458176,"Belhara, Jharkhand 822120, India","BELHARA,PANDU,PALAMU,Jharkhand"
27.5787228,82.3912892,"Beli Kalan, Uttar Pradesh, India","BELI,TULSIPUR,BALRAMPUR,Uttar Pradesh"
20.1924445,83.50889389999999,"Madanpur Rampur, Odisha 766102, India","BELUR ,M.RAMPUR,KALAHANDI,Odisha"
22.6840627,85.2114218,"Gudri, Jharkhand 833103, India","BERA KAYAM,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand"
27.5181738,82.64614189999999,"Pachperwa, Uttar Pradesh 271206, India","BETHANIYA,PACHPERWA,BALRAMPUR,Uttar Pradesh"
27.4309019,82.1805869,"Motisagar, Balrampur, Uttar Pradesh 271201, India","BETHUIYA DIMUN JOT,BALRAMPUR,BALRAMPUR,Uttar Pradesh"
26.4409294,85.6653206,"Nanpur, Bihar 843333, India","BHADIAN,NANPUR,SITAMARHI,Bihar"
27.6874326,82.3533266,"Bhadwar, Uttar Pradesh 271208, India","BHADWAR,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","BHAGTA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
26.6232961,84.4330214,"Bhagwanpur, Bihar, India","BHAGWANPUR,NAUTAN,PASHCHIM CHAMPARAN,Bihar"
27.5246311,82.4156829,"Tulsipur, Uttar Pradesh, India","BHAGWANPUR,TULSIPUR,BALRAMPUR,Uttar Pradesh"
27.5181738,82.64614189999999,"Pachperwa, Uttar Pradesh 271206, India","BHAISAHWA,PACHPERWA,BALRAMPUR,Uttar Pradesh"
24.011366,84.25816950000001,"Bhalmanda, Jharkhand 822118, India","BHALMANDA,LESLIGANJ,PALAMU,Jharkhand"
26.8232476,85.5412645,"Bhaluaha, Bihar, India","BHALUAHA,SONBARSA,SITAMARHI,Bihar"
21.8096956,85.8471881,"Chitrapasi, Karanjia - Khiching Rd, Chadeibhol, Odisha 757037, India","BHALUGODA (CHITRAPOSI),KARANJIA,MAYURBHANJ,Odisha"
27.5246311,82.4156829,"Tulsipur, Uttar Pradesh, India","BHALUIYA,TULSIPUR,BALRAMPUR,Uttar Pradesh"
19.7174914,82.3736663,"Jharigaon, Odisha 764076, India","BHALUKONADI,JHARIGAM,NABARANGPUR,Odisha"
26.7994224,84.6204403,"Majhaulia, Bihar 845454, India","BHANA CHAK,MAJHAULIA,PASHCHIM CHAMPARAN,Bihar"
22.3247374,84.06894489999999,"Village Rd, Sankara, Odisha 770014, India","BHANDARISANKARA,BALISANKARA,SUNDERGARH,Odisha"
26.9806515,84.1224036,"Madhubani Block, Bihar, India","BHANDARWA KALAN,MADHUBANI,PASHCHIM CHAMPARAN,Bihar"
27.6265722,82.4129729,"Bhangha Kalan, Uttar Pradesh 271208, India","BHANGAHA KALAN,TULSIPUR,BALRAMPUR,Uttar Pradesh"
26.5316451,85.7948524,"Charaut, Bihar 843319, India","BHANTA WARI,CHORAUT,SITAMARHI,Bihar"
24.5421988,84.2792317,"Hariharganj, Jharkhand, India","BHANWAR,HARIHARGANJ,PALAMU,Jharkhand"
20.6776753,83.5363359,"Bharatbahal, Odisha 767002, India","BHARATBAHAL,PATNAGARH,BOLANGIR,Odisha"
27.0315229,84.58771829999999,"Bharbharwa, Bihar 845307, India","BHARBHARWA,MAINATAND,PASHCHIM CHAMPARAN,Bihar"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","BHARPUR CHETIYA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","BHATPURWA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
26.8651447,84.34763210000001,"Jogapatti, Bihar 845452, India","BHAWANIPUR-2,JOGAPATTI,PASHCHIM CHAMPARAN,Bihar"
26.7837179,85.6927335,"Bhiswa Rd, Bihar, India","BHISWA,PARIHAR,SITAMARHI,Bihar"
23.3722255,84.84897389999999,"Bhitha, Jharkhand 835325, India","BHITHA,PIPRA,PALAMU,Jharkhand"
27.6565068,82.2949866,"Lauki Kalan, Uttar Pradesh 271208, India","BHITWARIYA KALAN,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
21.8837267,86.9041685,"Mohanpur, Odisha 757018, India","BHOLGHATI,MORADA,MAYURBHANJ,Odisha"
27.5290248,82.4042298,"Orajhar, Uttar Pradesh 271210, India","BHUJEHRA,TULSIPUR,BALRAMPUR,Uttar Pradesh"
22.7602892,85.6986957,"Bhujusai, Jharkhand 833102, India","BHUJUSAI,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,Jharkhand"
27.5120117,82.6419317,"Pachperwa, Uttar Pradesh 271206, India","BHUKURWA,PACHPERWA,BALRAMPUR,Uttar Pradesh"
27.5469986,82.1360026,"Bhusailia, Uttar Pradesh 271861, India","BHUSAILIYA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
26.584391,85.7371793,"Bhutha, Bihar, India","BHUTHA,CHORAUT,SITAMARHI,Bihar"
24.0775497,84.52877219999999,"Bidra, Jharkhand 822122, India","BIDRA,PANKI,PALAMU,Jharkhand"
19.0517161,82.5486131,"Borigumma, Odisha 764056, India","BIJAPUR,BORIGUMMA,KORAPUT,Odisha"
24.0357114,84.47763719999999,"Panki, Jharkhand 822122, India","BIRBIR,PANKI,PALAMU,Jharkhand"
22.6840627,85.2114218,"Gudri, Jharkhand 833103, India","BIRKEL,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand"
22.0846875,84.85549,"Birkera, Odisha 770037, India","BIRKERA,LATHIKATA,SUNDERGARH,Odisha"
21.6350567,86.93987589999999,"Bishnupur, Odisha, India","BISHNUPUR,BETNOTI,MAYURBHANJ,Odisha"
26.8963458,84.54449699999999,"Bishunpur Raghunath, Bihar 845450, India","BISHUNPUR RAGHUNATH,CHANPATIA,PASHCHIM CHAMPARAN,Bihar"
26.7190047,85.5689288,"Bishunpur Gonahi, Bihar, India","BISHUNPUR URF GONAHI,SONBARSA,SITAMARHI,Bihar"
19.1404296,82.318057,"Kotapad, Odisha 764058, India","BOBIYA,KOTPAD,KORAPUT,Odisha"
24.2345989,86.8383485,"Sarath, Jharkhand 814149, India","BOCHBANDH,SARATH,DEOGHAR,Jharkhand"
23.9268683,84.2568529,"Satbarwa, Jharkhand 822126, India","BOHITA,SATBARWA,PALAMU,Jharkhand"
22.5474364,85.8025373,"Chaibasa, Jharkhand 833201, India","BOROI,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand"
21.8146063,84.9648484,"Brahmangaon, Odisha, India","BRAHMANGAON,LAHUNIPARA,SUNDERGARH,Odisha"
26.4372907,85.6553634,"Rasulganj urf Koili, Bihar 843333, India","BRHAMAUL,NANPUR,SITAMARHI,Bihar"
22.1570265,86.52929859999999,"Similipal Khairi Resort, near check point on NH6, Bangriposi, Odisha 757032, India","BUDAMORA,BANGRIPOSI,MAYURBHANJ,Odisha"
20.8976958,83.52068039999999,"Budhipadar, Odisha 767020, India","BUDHIPADAR,LOISINGHA,BOLANGIR,Odisha"
26.3726481,85.4927026,"Runni Saidpur Madhya, Bihar, India","BULANDPUR URF HUSAINPUR,RUNNI SAIDPUR,SITAMARHI,Bihar"
20.8444298,83.3976335,"Buromunda, Odisha 767065, India","BUROMUNDA,LOISINGHA,BOLANGIR,Odisha"
22.5075703,85.3769159,"Goilkera, Jharkhand 833103, India","BURUDUYA,GOELKERA,PASHCHIMI SINGHBHUM,Jharkhand"
20.2865154,84.478293,"Chakapada, Odisha 762028, India","CHAHALI,CHAKAPAD,KANDHAMAL,Odisha"
27.531921,82.418326,"Titu Cplx, Bypass Rd, Tulsipur, Gonda, Balrampur, Uttar Pradesh 271208, India","CHAINPUR BARERIYA,TULSIPUR,BALRAMPUR,Uttar Pradesh"
24.106759,84.2739668,"Chhaknadih, Jharkhand 822113, India","CHAKNADIH,TARHASI,PALAMU,Jharkhand"
22.8669028,85.3276724,"National Highway 75, Bandgaon, Jharkhand 835216, India","CHAMPAWA,BANDGAON,PASHCHIMI SINGHBHUM,Jharkhand"
27.1683844,84.1606601,"Chamwalia, Bihar 845101, India","CHAMWALIA,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,Bihar"
20.4684665,83.0334524,"Chanabahal, Odisha, India","CHANABAHAL,MURIBAHAL,BOLANGIR,Odisha"
24.0448304,84.43269320000002,"Chanderpur, Jharkhand 822122, India","CHANDERPUR,PANKI,PALAMU,Jharkhand"
24.0448304,84.43269320000002,"Chanderpur, Jharkhand 822122, India","CHANDRAPUR,PANKI,PALAMU,Jharkhand"
24.482819,86.5829699,"Chapariya, Jharkhand 814152, India","CHAPARIYA,DEOGHAR,DEOGHAR,Jharkhand"
24.5246418,84.2844961,"Pipra, Jharkhand 822131, India","CHAPARWAR,PIPRA,PALAMU,Jharkhand"
27.531921,82.418326,"Titu Cplx, Bypass Rd, Tulsipur, Gonda, Balrampur, Uttar Pradesh 271208, India","CHAUHATTER KALAN,TULSIPUR,BALRAMPUR,Uttar Pradesh"
27.5322557,82.1074293,"Chauka Kalan, Uttar Pradesh, India","CHAUKAKALAN,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
26.4409294,85.6653206,"Nanpur, Bihar 843333, India","CHAUPAR KHURD,NANPUR,Bihar"
24.3005874,84.1144854,"Chengwana, Jharkhand 822113, India","CHENGWANA,CHHATARPUR,PALAMU,Jharkhand"
24.202349,84.1778016,"Patan, Jharkhand 822123, India","CHETMA,PATAN,PALAMU,Jharkhand"
19.8864697,82.0727726,"Raighar, Odisha 764074, India","CHHATABEDA,RAIGHAR,NABARANGPUR,Odisha"
