Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Keonjhar,Keonjhar,Keonjhar,10,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bhawanipatna,Bhawanipatna,Bhawanipatna,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bhadrak,Bhadrak,Bhadrak,82,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Karanja,Karanja,Karanja,39,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chamarajanagar,Chamarajanagar,Chamarajanagar,14,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Arani,Arani,Arani,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chopda,Chopda,Chopda,22,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gopalganj,Gopalganj,Gopalganj,45,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Suri,Suri,Suri,22,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kadi,Kadi,Kadi,14,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Harda,Harda,Harda,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dholka,Dholka,Dholka,25,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Washim,Washim,Washim,31,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Madhubani,Madhubani,Madhubani,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tenkasi,Tenkasi,Tenkasi,43,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sircilla,Sircilla,Sircilla,5,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Balotra,Balotra,Balotra,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sitamarhi,Sitamarhi,Sitamarhi,47,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Payyannur,Payyannur,Payyannur,37,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Araria,Araria,Araria,25,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Koyilandy,Koyilandy,Koyilandy,16,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Keshod,Keshod,Keshod,10,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dhubri,Dhubri,Dhubri,11,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Shahdol,Shahdol,Shahdol,55,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dharapuram,Dharapuram,Dharapuram,25,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chintamani,Chintamani,Chintamani,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Pattukkottai,Pattukkottai,Pattukkottai,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ratangarh,Ratangarh,Ratangarh,29,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bapatla,Bapatla,Bapatla,7,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Burhar,Burhar,Burhar,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gudur,Gudur,Gudur,16,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dhupguri,Dhupguri,Dhupguri,10,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Palani,Palani,Palani,13,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Pusad,Pusad,Pusad,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tindivanam,Tindivanam,Tindivanam,12,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Alipurduar,Alipurduar,Alipurduar,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Srikalahasti,Srikalahasti,Srikalahasti,5,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Hingoli,Hingoli,Hingoli,26,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Anjar,Anjar,Anjar,38,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tikamgarh,Tikamgarh,Tikamgarh,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Petlad,Petlad,Petlad,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dhrangadhra,Dhrangadhra,Dhrangadhra,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
