js_file,company,count
bank,lic employees co op bank udupi,3
bank,loknete dattaji patil sahakari bank lasalgaon,3
bank,lokvikas nagari sahakari bank aurangabad,3
bank,lonavala sahakari bank,3
bank,lunawada peoples co op bank,3
bank,m s co op bank,3
bank,madhya bihar gramin bank patna,3
bank,madurai district central co op bank,3
bank,mahalakshmi co op bank udupi,3
bank,mahanagar co op bank,9
bank,mahanagar coopbank,3
bank,mahanagar nagrik sahakari bank,3
bank,maharaja co op urban bank,3
bank,maharashtra gramin bank,10
bank,maharashtra mantralaya and allied offices co op bank,3
bank,maharashtra state co op bank,10
bank,mahesh sahakari bank pune,10
bank,mahesh urban co op bank parbhani,3
bank,mahila nagrik sahakari bank maryadit mahasamund cg,3
bank,makarpura industrial estate co op bank,3
bank,malad sahakari bank,10
bank,malkapur urban co op bank,7
bank,malviya urban co op bank,3
bank,mandvi nagrik sahakari bank,3
bank,mangalore catholic co op bank,3
bank,mangalore co op town bank,3
bank,manipur rural bank,3
bank,manjeri co op urban bank,3
bank,mann deshi mahila sahakari bank mhaswad,3
bank,mansing co op bank dudhondi,3
bank,manvi pattana souharda sahakari bank ni,3
bank,maratha co op bank belgaum,3
bank,mashreq bank,8
bank,mattancherry sarvajanik co op bank,3
bank,mcx sx clearing corporation,3
bank,meghalaya co op apex bank,10
bank,meghalaya rural bank,3
bank,mehsana nagrik sahakari bank,3
bank,mehsana urban co op bank,10
bank,merchants co op bank tiptur,3
bank,metropolitan clearing corporation of india,3
bank,mizuho bank,4
bank,mizuho corporate bank,7
bank,modasa nagarik sahakari bank,3
bank,model co op bank,10
bank,morgan stanley,3
bank,morgan stanley primary dealer,3
bank,mufg bank,7
bank,mugberia central co op bank,3
bank,mumbai district central co op bank,7
bank,municipal co op bank,7
bank,municipal co op bank mumbai,6
bank,muslim co op bank,10
bank,mysore and chamarajanagar distt co op central bank,3
bank,nadia district central co op bank,3
bank,nagar urban co op bank,7
bank,nagarik sahakari bank maryadit durg,3
bank,nagpur nagarik sahakari bank,7
bank,nagpur nagrik co op bank,3
bank,nagrik sahakari bank maryadit gwalior,3
bank,nagrik sahakari bank maryadit vidisha,3
bank,nainital bank,17
bank,nalgonda dist co op central bank nalgonda,3
bank,nandani sahakari bank nandani,3
bank,nanded merchants co op bank,3
bank,nandura urban co op bank,3
bank,nandurbar merchants coop bank nandurbar,3
bank,naroda nagrik co op bank,3
