,0,1,2
266,meghalaya rural bank,meghalaya co op apex bank,False
267,mehsana urban co op bank,mehsana urban co op bank,True
268,model co op bank,model co op bank,True
269,muslim co op bank,muslim co op bank,True
270,nasik merchants co op bank,nasik merchants co op bank,True
271,nav jeevan co op bank,nav jeevan co op bank,True
272,navnirman co op bank,navnirman co op bank,True
273,nawanagar co op bank,nawanagar co op bank,True
274,new india co op bank,new india co op bank,True
275,nilambur co op urban bank,nilambur co op urban bank,True
276,nkgsb bank,nkgsb bank,True
277,nutan nagarik sahakari bank,nutan nagarik sahakari bank,True
278,patan nagarik sahakari bank,nutan nagarik sahakari bank,False
279,pavana sahakari bank,pavana sahakari bank,True
280,prime co op bank,prime co op bank,True
281,punjab state co op bank,punjab state co op bank,True
282,rajarambapu sahakari bank,rajarambapu sahakari bank,True
283,rajasthan marudhara gramin bank,rajasthan marudhara gramin bank,True
284,rajasthan state co op bank,rajasthan state co op bank,True
285,rajgurunagar sahakari bank,rajgurunagar sahakari bank,True
286,rajkot nagarik sahakari bank,rajkot nagarik sahakari bank,True
287,rbs abn amro,rbs abn amro,True
288,sant sopankaka sahakari bank,sant sopankaka sahakari bank,True
289,saraspur nagarik co op bank,saraspur nagarik co op bank,True
290,saraswat co op bank,saraswat co op bank,True
291,saurashtra co op bank,saurashtra gramin bank,False
292,saurashtra gramin bank,saurashtra gramin bank,True
293,shivalik mercantile co op bank,shivalik mercantile co op bank,True
294,shree kadi nagarik sahakari bank,shree kadi nagarik sahakari bank,True
295,sree charan souhardha co op bank,sree charan souhardha co op bank,True
296,suco souharda sahakari bank,suco souharda sahakari bank,True
297,surat district co op bank,surat district co op bank,True
298,surat national bank,surat district co op bank,False
299,surat national co op bank,surat district co op bank,False
300,surat peoples co op bank,surat district co op bank,False
301,sutex co op bank,sutex co op bank,True
302,tamil nadu industrial co op bank,tamil nadu state apex co op bank,False
303,tamil nadu state apex co op bank,tamil nadu state apex co op bank,True
304,tamilnadu state apex co op bank,tamil nadu state apex co op bank,False
305,textile traders co op bank,textile traders co op bank,True
306,thane bharat sahakari bank,thane bharat sahakari bank,True
307,thane district central co op bank,thane district central co op bank,True
308,thrissur district co op bank,thrissur district co op bank,True
309,tjsb sahakari bank,tjsb sahakari bank,True
310,tumkur grain merchants co op bank,tumkur grain merchants co op bank,True
311,udaipur mahila samridhi urban co op bank,udaipur mahila urban co op bank,False
312,udaipur mahila urban co op bank,udaipur mahila urban co op bank,True
313,uttar pradesh co op bank,uttar pradesh co op bank,True
314,varachha co op bank,varachha co op bank,True
315,vasai janata sahakari bank,vasai janata sahakari bank,True
316,vasai vikas sahakari bank,vasai vikas sahakari bank,True
317,vijay co op bank,vijay co op bank,True
318,vijay commercial co op bank,vijay co op bank,False
319,vijayapura district central co op bank,vijay co op bank,False
