,0,1,2
411,goreen e-mobility,goreen e-mobility,True
412,terra motors india,terra motors india,True
413,thukral electric bikes,thukral electric bikes,True
414,lamborghini,lamborghini,True
415,atlas auto industries,atlas auto industries,True
416,best way agencies,best way agencies,True
417,all terrain crane,all terrain crane,True
418,bgauss auto,bgauss auto,True
419,sonalika industries,sonalika industries,True
420,universal,universal,True
421,universal engineering,universal,False
422,aditya coke,aditya sai industries,False
423,autocrola india,autocrola india,True
424,js mobileon,js mobileon,True
425,supereco automotive co,supereco automotive co,True
426,supereco automotive co llp,supereco automotive co,False
427,altigreen propulsion labs,altigreen propulsion labs,True
428,akash trailor,akash trailor,True
429,goenka electric motor veh l,goenka electric motor vehicles,False
430,goenka electric motor vehicles,goenka electric motor vehicles,True
431,mac auto india,mac auto india,True
432,rgm business plus,rgm business plus,True
433,hotage corporation india,hotage corporation india,True
434,kuku automotives,kuku automotives,True
435,unique international,unique international,True
436,allfine industries,allfine industries,True
437,mini metro ev l l p,mini metro ev l l p,True
438,lakshmi engineering works,laxmi engineering works,False
439,lakshmi motors,laxmi engineering works,False
440,lakshmi trailers,laxmi engineering works,False
441,laxmi diamond,laxmi engineering works,False
442,laxmi eng co,laxmi engineering works,False
443,laxmi engineering works,laxmi engineering works,True
444,laxmi engineering works nlg,laxmi engineering works,False
445,laxmi engineering workshop,laxmi engineering works,False
446,laxmi enterprises,laxmi engineering works,False
447,laxmi ganesh engineering works,laxmi engineering works,False
448,laxmi industries,laxmi engineering works,False
449,laxmi prasanna engineering works,laxmi engineering works,False
450,laxmi sai engineering works,laxmi engineering works,False
451,laxmi steel works,laxmi engineering works,False
452,laxmi tractor,laxmi engineering works,False
453,laxmi trailers,laxmi engineering works,False
454,laxmi welding works,laxmi engineering works,False
455,mahalaxmi agro,laxmi engineering works,False
456,mahalaxmi engineering works,laxmi engineering works,False
457,sri mahalaxmi engineering works,laxmi engineering works,False
458,varalaxmi engineering works,laxmi engineering works,False
459,century cement,century motors,False
460,century motors,century motors,True
461,krishi engineering works,krishi engineering works,True
462,m k brothers,m k brothers,True
463,victory electric international,victory electric international,True
464,vijayalakshimi engg works,vijayalakshimi engg works,True
465,ganesh agro industries,ganesh agro industries,True
466,ganesh industries,ganesh agro industries,False
467,ganesh sponge,ganesh agro industries,False
468,ganraj agro industries,ganesh agro industries,False
469,ashtvinayak industries,vinayak industries,False
470,vinay cement,vinayak industries,False
471,vinay industries,vinayak industries,False
472,vinayaga industries,vinayak industries,False
473,vinayaga infra,vinayak industries,False
474,vinayak agro industries,vinayak industries,False
475,vinayak agro works,vinayak industries,False
476,vinayak industries,vinayak industries,True
477,vinayak trailer industries,vinayak industries,False
478,vinod agro industries,vinayak industries,False
479,ferrari,ferrari india,False
480,ferrari india,ferrari india,True
481,ferrero,ferrari india,False
482,guangdong tayo (importer: adishwar auto),guangdong tayo (importer: adishwar auto),True
483,machinery manu corpn,machinery manu corpn,True
484,asia body builders & manufacturers,asia body builders & manufacturers,True
485,godawari electric motors,godawari electric motors,True
486,omega const equipt,omega const equipt,True
487,battre electric moblity,battre electric moblity,True
488,dashmesh agriculture works,dashmesh mech works,False
489,dashmesh mech works,dashmesh mech works,True
490,evtric motors,evtric motors,True
491,guru nanak agri works,guru nanak industries,False
492,guru nanak agriculture implements,guru nanak industries,False
493,guru nanak agro industries,guru nanak industries,False
494,guru nanak auto enterprises,guru nanak industries,False
495,guru nanak industries,guru nanak industries,True
496,holland tractors,holland tractors,True
497,k & g engineering works,kisan engineering works,False
498,k engineering works,kisan engineering works,False
499,k s engineering works,kisan engineering works,False
500,kamaz motors,kamaz vectra motors,False
501,kamaz vectra motors,kamaz vectra motors,True
502,kirit engineering works,kisan engineering works,False
503,kisan engineering,kisan engineering works,False
504,kisan engineering works,kisan engineering works,True
505,kisan enterprises,kisan engineering works,False
506,kisan trailer,kisan engineering works,False
507,kunal engineering works,kisan engineering works,False
508,powerland agro tractor veh,powerland agro tractor vehicles,False
509,powerland agro tractor vehicles,powerland agro tractor vehicles,True
510,adishakti tractors,adishakti tractors,True
511,apollo construction equipments,apollo construction equipments,True
512,ingersoll rand india,ingersoll rand india,True
513,jay ace technologies,jay ace technologies,True
514,tatra india,tatra india,True
515,altier electric vehicles,altier electric vehicles,True
516,indian motorcycle company,indian motorcycle company,True
517,manku agro tech,manku agro tech,True
518,hira agro industries,hira agro industries,True
519,ira industries,hira agro industries,False
520,lotia motors,lotia motors,True
521,maa shakti exim,maa shakti exim,True
522,automobili lamborghini s p a,automobili lamborghini s p a,True
523,jiangsu zheenaida (importer: klb global),jiangsu zheenaida (importer: klb global),True
524,manitowoc india,manitowoc india,True
525,monto motors,monto motors,True
526,shigan evoltz,shigan evoltz,True
527,dilip chhabria design,dilip chhabria design,True
528,j agro industries,m s agro industries,False
529,j b agro industries,m s agro industries,False
530,j k agro industries,m s agro industries,False
531,j s agro industries,m s agro industries,False
532,m s agro industries,m s agro industries,True
533,n s g agro industries,m s agro industries,False
534,om sai agro industries,shri ram agro industries,False
535,r s agro industries,m s agro industries,False
536,s k agro industries,m s agro industries,False
537,s n agro industries,m s agro industries,False
538,s p agro industries,m s agro industries,False
539,s s agro industries,m s agro industries,False
540,s s agro tech,m s agro industries,False
541,sai agro industries,m s agro industries,False
542,sant agro industries,m s agro industries,False
543,shri agro industries,shri ram agro industries,False
544,shri datta agro industries,shri ram agro industries,False
545,shri devi agro industries,shri ram agro industries,False
546,shri dharti agro industries,shri ram agro industries,False
547,shri industries,shri ram agro industries,False
548,shri ram agro industries,shri ram agro industries,True
549,shri ram agro sciences,shri ram agro industries,False
550,shri ram automobiles,shri ram agro industries,False
551,shri ram commodities,shri ram agro industries,False
552,shri ram engineering works,shri ram agro industries,False
553,shri ram enterprise,shri ram agro industries,False
554,shri ram industries,shri ram agro industries,False
555,shri ramwshwar agro,shri ram agro industries,False
556,shri sai agro industries,shri ram agro industries,False
557,shri sai industries,shri ram agro industries,False
558,shri umiya agro industries,shri ram agro industries,False
559,shriji agro industries,shri ram agro industries,False
560,electreca vehicles,electreca vehicles,True
561,ramona,ramona,True
562,dhiman brothers,dhiman brothers,True
563,eco smart vehicles,eco smart vehicles,True
564,shri vishwakarma engineering works,vishwakarma engineering works,False
565,soni e vehicle,soni e vehicle,True
566,soni e vehicles,soni e vehicle,False
567,tamilnadu cements corp,tamilnadu mopeds,False
568,tamilnadu industrial development corp,tamilnadu mopeds,False
569,tamilnadu industrial investment corp,tamilnadu mopeds,False
570,tamilnadu industries,tamilnadu mopeds,False
571,tamilnadu minerals,tamilnadu mopeds,False
572,tamilnadu mopeds,tamilnadu mopeds,True
573,tamilnadu small industries corp,tamilnadu mopeds,False
574,tamilnadu small industries development corp,tamilnadu mopeds,False
575,tamilnadu state marketing corp,tamilnadu mopeds,False
576,tamilnadu sugar corp,tamilnadu mopeds,False
577,tamilnadu transmission corp,tamilnadu mopeds,False
578,tamilnadu waste management,tamilnadu mopeds,False
579,tork motors,tork motors,True
580,vishakarma engi works,vishwakarma engineering works,False
581,vishavkarma agro industries,vishwakarma engineering works,False
582,vishavkarma agro works,vishwakarma engineering works,False
583,vishavkarma engineering works,vishwakarma engineering works,False
584,vishwakarma agricultural works,vishwakarma engineering works,False
585,vishwakarma auto,vishwakarma engineering works,False
586,vishwakarma engineering works,vishwakarma engineering works,True
587,vishwakarma industries,vishwakarma engineering works,False
588,vishwakarma mechanical works,vishwakarma engineering works,False
589,vishwakarma trailor works,vishwakarma engineering works,False
590,vishwakarma welding works,vishwakarma engineering works,False
591,hero eco vehicles,hero eco vehicles,True
592,traclaxx tractors,traclaxx tractors,True
593,asha industries,asha industries,True
594,asha metal industries,asha industries,False
595,hovel cylinder,hovel cylinder,True
596,kerala agro machinery corp,kerala agro machinery corp,True
597,kerala agro machinery corporation,kerala agro machinery corp,False
598,pasha agro industries,asha industries,False
599,schwing stetter india pl,schwing stetter india pl,True
600,shri chinnamman engg works,shri chinnamman engg works,True
601,toyota material handling india,toyota material handling india,True
602,aman agro industries,aman agro industries,True
603,digvijay cement,vijay engineering works,False
604,digvijay engineering works,vijay engineering works,False
605,g & g automotive,g & g automotive,True
606,karumalaian agro industry,karumalaian agro industry,True
607,vijay engineering works,vijay engineering works,True
608,vijay textiles,vijay engineering works,False
609,vijay trailer,vijay engineering works,False
610,vijaya engineering works,vijay engineering works,False
611,vijayaganapathi engineering works,vijay engineering works,False
612,vijayan engineering works,vijay engineering works,False
613,baba e-vehicles,baba e-vehicles,True
614,eko vehicle,eko vehicle,True
615,hind agro industries,hindustan agro industries,False
616,hinduja agro,hindustan agro industries,False
617,hindustan agro ind,hindustan agro industries,False
618,hindustan agro industries,hindustan agro industries,True
619,hindustan mint & agro products,hindustan agro industries,False
620,hindustan motors,hindustan agro industries,False
621,hindustan zinc,hindustan agro industries,False
622,om balajee automobile ( india),om balajee automobile ( india),True
623,annapurna agro industries,annapurna industries,False
624,annapurna finance,annapurna industries,False
625,annapurna industries,annapurna industries,True
626,avl electric vehicles,avl electric vehicles,True
627,dasmesh agriculture works,dasmesh mechanical works,False
628,dasmesh mechanical works,dasmesh mechanical works,True
629,larsen & toubro,larsen & toubro,True
630,mahavir tractor & implements,mahavir tractor & implements,True
631,rajshakti auto,shakti auto green,False
632,shakti,shakti auto green,False
633,shakti auto garage,shakti auto green,False
634,shakti auto green,shakti auto green,True
635,bharat pump comp,bharat pump comp,True
636,indus electrotherm india,indus electrotherm india,True
637,morris motors,morris motors,True
638,nirmal brother,nirmal brother,True
639,nirmal hospital,nirmal brother,False
640,nirmal industries,nirmal brother,False
641,nirmal lifestyle,nirmal brother,False
642,odysse electric vehicles,odysse electric vehicles,True
643,rcj auto forge,rcj auto forge,True
644,s industries,sagar industries,False
645,sab industries,sagar industries,False
646,sagar agro industries,sagar industries,False
647,sagar agro steel industries,sagar industries,False
648,sagar industries,sagar industries,True
649,sagar power,sagar industries,False
650,aston martin,aston martin lagonda,False
651,aston martin lagonda,aston martin lagonda,True
652,m k enterprises,m k enterprises,True
653,maserati,maserati,True
654,3ev industries,3ev industries,True
655,caparo autotech,caparo autotech,True
656,agri king,agri king,True
657,gemag construction machinary,gemag construction machinary,True
658,jain,jain power corp,False
659,jain power corp,jain power corp,True
660,kalinga engineering,kalinga ventures india,False
661,kalinga hospital,kalinga ventures india,False
662,kalinga ventures ind p,kalinga ventures india,False
663,kalinga ventures india,kalinga ventures india,True
664,shanthinatha trailor,shanthinatha trailor,True
665,sunku auto,sunku auto,True
666,vaibhav agriculture,vaibhav auto indushries,False
667,vaibhav auto indushries,vaibhav auto indushries,True
668,vaibhav auto industries,vaibhav auto indushries,False
669,vaibhav engineering works,vaibhav auto indushries,False
670,vaibhav global,vaibhav auto indushries,False
671,asr motors,sas motors,False
672,atumobile,atumobile,True
673,motoroyale kinetic,motoroyale kinetic,True
674,sas motors,sas motors,True
675,gkon electric motor vehicles,gkon electric motor vehicles,True
676,jeep cherokee,jeep cherokee,True
677,vani electric vehicles,vani electric vehicles,True
678,vishvas tractors,vishvas tractors,True
679,brooke bond india,brooke bond india,True
680,brooke bond lipton,brooke bond india,False
681,brooke bond red,brooke bond india,False
682,hundal industries,hundal industries,True
683,united auto tractors,united auto tractors,True
684,ceeon india,ceeon india,True
685,new hind agro,new hind agro,True
686,royal,royal tractor,False
687,royal chains,royal tractor,False
688,royal energy,royal tractor,False
689,royal tractor,royal tractor,True
690,speego vehicles,speego vehicles co,False
691,speego vehicles co,speego vehicles co,True
692,india auto,india auto,True
693,a v automotives,a v automotives,True
694,attolent auto group,attolent auto group,True
695,bright autozone,bright autozone,True
696,expo machinery,expo machinery,True
697,san motors,san motors,True
698,u p telelinks,u p telelinks,True
699,u telelinks,u p telelinks,False
700,johnson tractors & motors,johnson tractors & motors,True
701,maa engineering trailor,maa engineering trailor,True
702,maharastra scooter,maharastra scooter,True
703,quantum energy,quantum energy,True
704,quantum securities,quantum energy,False
705,tadano,tadano,True
706,aaditya garbage products,aaditya garbage products,True
707,atut sangam,atut sangam,True
708,gayatri agro engineering,gayatri agro industries,False
709,gayatri agro industries,gayatri agro industries,True
710,jaidka power systems,jaidka power systems,True
711,ok play india,ok play india,True
